Brand,Model,Year,Status,Mileage,Dealer,Price,Age,PriceRange,Yearly_Miles
gmc,sierra,2022,certified,20222.0,Classic Elite Chevrolet Sugar Land,62991.0,2,$60000-69999,10111.0
lexus,rx,2013,used,109942.0,AutoNation USA Katy,16983.0,11,$10000-19999,9994.73
lexus,lx,2020,used,61900.0,AutoNation USA Katy,65683.0,4,$60000-69999,15475.0
bmw,x5,2023,used,9775.0,AutoNation USA Katy,78683.0,1,$70000-79999,9775.0
lexus,rx,2013,used,96704.0,AutoNation USA Katy,17483.0,11,$10000-19999,8791.27
audi,rs 7,2023,new,0.0,Audi West Houston,155241.0,1,$150000-159999,0.0
audi,q7,2020,certified,37035.0,Audi West Houston,47497.0,4,$40000-49999,9258.75
audi,sq5,2018,used,47030.0,Audi Sugar Land,31999.0,6,$30000-39999,7838.33
bmw,540 i,2022,used,18182.0,Audi Sugar Land,48999.0,2,$40000-49999,9091.0
audi,q7,2022,certified,27405.0,Audi Sugar Land,49991.0,2,$40000-49999,13702.5
audi,q7,2023,new,0.0,Audi Sugar Land,88565.0,1,$80000-89999,0.0
audi,a8,2019,certified,39922.0,Audi Sugar Land,41991.0,5,$40000-49999,7984.4
audi,s3,2017,used,48594.0,Audi Sugar Land,25991.0,7,$20000-29999,6942.0
mazda,cl,2023,new,0.0,Jeff Haas Mazda,35651.0,1,$30000-39999,0.0
ram,1500,2022,used,37069.0,Hertz Car Sales Houston,29490.0,2,$20000-29999,18534.5
kia,sportage,2023,used,37877.0,Hertz Car Sales Houston,23993.0,1,$20000-29999,37877.0
gmc,yukon,2023,new,0.0,Classic Elite Buick GMC,83500.0,1,$80000-89999,0.0
gmc,yukon,2023,new,0.0,Classic Elite Buick GMC,91420.0,1,$90000-99999,0.0
chevrolet,suburban,2016,used,104797.0,Classic Elite Buick GMC,28991.0,8,$20000-29999,13099.62
gmc,yukon,2023,new,0.0,Classic Elite Buick GMC,60955.0,1,$60000-69999,0.0
gmc,yukon,2023,new,0.0,Classic Elite Buick GMC,62540.0,1,$60000-69999,0.0
cadillac,escalade,2019,used,57160.0,Granbury Nissan,50479.0,5,$50000-59999,11432.0
gmc,yukon,2023,new,0.0,Classic Elite Buick GMC,83035.0,1,$80000-89999,0.0
gmc,sierra,2023,new,0.0,Classic Elite Buick GMC,80300.0,1,$80000-89999,0.0
gmc,yukon,2023,new,0.0,Classic Elite Buick GMC,91765.0,1,$90000-99999,0.0
ram,1500,2023,new,0.0,Mike Perry Motor Company,66675.0,1,$60000-69999,0.0
dodge,charger,2023,new,0.0,Mike Perry Motor Company,34215.0,1,$30000-39999,0.0
jeep,gladiator,2023,new,0.0,Mike Perry Motor Company,48042.0,1,$40000-49999,0.0
dodge,durango,2023,new,0.0,Mike Perry Motor Company,39930.0,1,$30000-39999,0.0
dodge,charger,2023,new,0.0,Mike Perry Motor Company,32630.0,1,$30000-39999,0.0
mercedes,s-class,2023,new,0.0,Mercedes-Benz of Sugar Land,126470.0,1,$120000-129999,0.0
mercedes,4matic,2023,new,0.0,Mercedes-Benz of Sugar Land,70480.0,1,$70000-79999,0.0
ford,escape,2014,used,80618.0,Jaguar Land Rover West Houston,12595.0,10,$10000-19999,8061.8
chevrolet,silverado,2024,new,0.0,Gound Chevrolet,60500.0,0,$60000-69999,
